campaign_name,订单量,用户数,GMV,净销售额,净利润,退货率,平均评分,营销成本,客单价,利润率,ROI
日常,4637,1565,3404982.83,3254867.19,1021853.12,0.05908992883329739,4.384300194091007,147185.55,734.3072740996334,0.31394617978253053,6.942618483947643
618大促,1083,758,879862.75,698859.68,39180.73,0.20221606648199447,4.1458910433979685,34954.17,812.4309787626962,0.056063800962161674,1.1209171895656513
双十一,264,242,299590.47,262845.83,38224.43,0.20075757575757575,4.170454545454546,8250.2,1134.8123863636363,0.14542528599369448,4.633151923589731
