region,订单量,用户数,GMV,净销售额,净利润,退货率,平均评分,营销成本,客单价,利润率,ROI
东北,2352,1209,2003113.42,1858374.5,501357.86,0.09013605442176871,4.333333333333333,74840.07,851.663869047619,0.26978300660066096,6.699056534821519
华东,999,726,959512.54,887399.88,252430.00999999998,0.0920920920920921,4.307307307307307,34033.06,960.4730130130131,0.2844602706054006,7.417199922663434
华中,361,312,793717.26,734569.7,224569.57,0.08310249307479224,4.423822714681441,10927.1,2198.6627700831027,0.305715808860616,20.55161662289171
华北,1191,802,372053.93,322701.48,37494.79,0.10831234256926953,4.310663308144417,40503.57,312.3878505457599,0.11619032549835223,0.9257156838273762
华南,628,499,237012.27,218044.75,41512.17,0.07006369426751592,4.351910828025478,18559.49,377.4080732484076,0.1903837171039431,2.2367085517974896
西南,453,384,219026.63,195482.39,41893.88,0.08609271523178808,4.33112582781457,11526.63,483.5024944812362,0.21431025065736098,3.6345297801699195
