sales_channel,订单量,用户数,GMV,净销售额,净利润,退货率,平均评分,营销成本,客单价,利润率,ROI
网页商城,1630,996,1880338.76,1761114.38,526425.88,0.05766871165644172,4.384049079754601,40722.75,1153.5820613496933,0.29891634863602673,12.927070986119553
线下门店,997,721,1424226.87,1350561.95,444293.68,0.07422266800401203,4.39518555667001,13789.35,1428.5124072216652,0.3289694930321412,32.22005968374144
手机APP,2129,1123,875029.63,803992.35,164716.97,0.08313762329732269,4.332550493189291,68986.19,411.0049929544387,0.20487380259277344,2.3876803458779214
第三方平台,646,511,246208.55,182012.01,-6456.93,0.1609907120743034,4.205882352941177,25722.44,381.12778637770896,-0.03547529638291451,-0.25102323107761165
直播间,582,481,158632.24,118892.01,-29721.32,0.16666666666666666,4.213058419243986,41169.19,272.5639862542955,-0.249985848502351,-0.7219311334519819
